deal,First,MI,Last,Law_Firm,Type
003 - NSRE Holdings Inc acquisition of stock of Constitution Life Insurance Comp.docx,Michael,D.,Devins,Debevoise & Plimpton LLP,Buyer
003 - NSRE Holdings Inc acquisition of stock of Constitution Life Insurance Comp.docx,Brian,T.,Casey,Locke Lord LLP,Target/Seller
003 - Patriot National Inc acquisition of equity interests of Global HR Research.docx,Gary,NA,Horowitz,Simpson Thacher & Bartlett LLP,Buyer
003 - Patriot National Inc acquisition of equity interests of Global HR Research.docx,Louis,R.,Montello,Montello Law,Target/Seller
003 - PDC Energy Inc acquisition of certain assets of 299 Resources LLC 299 Prod.docx,Kristin,NA,Lentz,Davis Graham & Stubbs LLP,Buyer
003 - PDC Energy Inc acquisition of certain assets of 299 Resources LLC 299 Prod.docx,Greg,NA,Danielson,Davis Graham & Stubbs LLP,Buyer
003 - PDC Energy Inc acquisition of certain assets of 299 Resources LLC 299 Prod.docx,Sam,NA,Niebrugge,Davis Graham & Stubbs LLP,Buyer
003 - PDC Energy Inc acquisition of certain assets of 299 Resources LLC 299 Prod.docx,Irving,NA,Rotter,Sidley Austin LLP,Target/Seller
003 - PEDEVCO Corp and GOM Holdings LLC merger.docx,David,M.,Loev,"The Loev Law Firm, PC",Buyer
003 - PEDEVCO Corp and GOM Holdings LLC merger.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
003 - Upland Software Inc and Qvidian Corporation merger.docx,Steven,M.,Tyndall,Pillsbury Winthrop Shaw Pittman LLP,Buyer
003 - Upland Software Inc and Qvidian Corporation merger.docx,Kenneth,J.,Gordon,Goodwin Procter LLP,Target/Seller
003 - Upland Software Inc and Qvidian Corporation merger.docx,Brian,P.,McNeil,Goodwin Procter LLP,Target/Seller
003 - VSE Corporation acquisition of stock of Avatas Aerospace Inc Air Parts Hol.docx,Carter,NA,Strong,Arent Fox LLP,Buyer
003 - VSE Corporation acquisition of stock of Avatas Aerospace Inc Air Parts Hol.docx,R.,Matthew,Garms,Dentons US LLP,Target/Seller
003 - VSE Corporation acquisition of stock of Avatas Aerospace Inc Air Parts Hol.docx,NA,NA,NA,"Osler, Hoskin & Harcourt LLP",Target/Seller
004 - API Technologies Corp acquisition of stock of Aeroflex  Inmet Inc and Aero.docx,Bradley,L.,Finkelstein,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
004 - API Technologies Corp acquisition of stock of Aeroflex  Inmet Inc and Aero.docx,Douglas,K.,Schnell,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
004 - API Technologies Corp acquisition of stock of Aeroflex  Inmet Inc and Aero.docx,Joseph,P.,Kubarek,"Jaeckle Fleischmann & Mugel, LLP",Target/Seller
004 - Berry Global Inc acquisition of stock of Clopay Plastic Products Company I.docx,Louis,C.,Spelios,Bryan Cave LLP,Buyer
004 - Berry Global Inc acquisition of stock of Clopay Plastic Products Company I.docx,Martin,NA,Nussbaum,Dechert LLP,Target/Seller
004 - Berry Global Inc acquisition of stock of Clopay Plastic Products Company I.docx,Christian,NA,Matarese,Dechert LLP,Target/Seller
004 - BGC Partners Inc and Jersey Partners Inc merger.docx,David,K.,Lam,"Wachtell, Lipton, Rosen & Katz",Buyer
004 - BGC Partners Inc and Jersey Partners Inc merger.docx,Jeffrey,R.,Poss,Willkie Farr & Gallagher LLP,Target/Seller
004 - Brightcove Inc acquisition of assets of Unicorn Media Inc.docx,William,J.,Schnoor,Goodwin Procter LLP,Buyer
004 - Brightcove Inc acquisition of assets of Unicorn Media Inc.docx,Joseph,C.,Theis,Goodwin Procter LLP,Buyer
004 - Brightcove Inc acquisition of assets of Unicorn Media Inc.docx,Scott,K.,Weiss,Weiss Brown PLLC,Target/Seller
004 - Brookfield Renewable Energy Partners LP acquisition of assets of Talen Ene.docx,Jonathan,M.A.,Melmed,Morrison & Foerster LLP,Buyer
004 - Brookfield Renewable Energy Partners LP acquisition of assets of Talen Ene.docx,Brian,NA,Chisling,Simpson Thacher & Bartlett LLP,Target/Seller
004 - Brown And Brown Inc acquisition of certain assets of Hays Companies.docx,NA,NA,NA,Not disclosed at signing.,Buyer
004 - Brown And Brown Inc acquisition of certain assets of Hays Companies.docx,John,NA,Houston,"Fredrikson & Byron, P.A.",Target/Seller
004 - Brown And Brown Inc acquisition of certain assets of Hays Companies.docx,Zachary,NA,Olson,"Fredrikson & Byron, P.A.",Target/Seller
004 - Cambrian Energy McCommas Bluff III LLC acquisition of equity interests of .docx,NA,NA,NA,Not disclosed at signing.,Buyer
004 - Cambrian Energy McCommas Bluff III LLC acquisition of equity interests of .docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
004 - Canadian Pacific Railway Company and Railroad Acquisition Holdings LLC mer.docx,Stephen,M.,Quinlivan,Stinson LLP,Buyer
004 - Canadian Pacific Railway Company and Railroad Acquisition Holdings LLC mer.docx,Terence,M.,Hynes,Sidley Austin LLP,Target/Seller
004 - Coupa Software Incorporated and Laurel Parent Holdings Inc dba LLamasoft m.docx,Daniel,NA,O’Connor,Gunderson Dettmer Stough Villeneuve Franklin & Hachigian LLP,Buyer
004 - Coupa Software Incorporated and Laurel Parent Holdings Inc dba LLamasoft m.docx,John,NA,Olson,Gunderson Dettmer Stough Villeneuve Franklin & Hachigian LLP,Buyer
004 - Coupa Software Incorporated and Laurel Parent Holdings Inc dba LLamasoft m.docx,Michael,E.,Weisser,Kirkland & Ellis LLP,Target/Seller
004 - Coupa Software Incorporated and Laurel Parent Holdings Inc dba LLamasoft m.docx,Maggie,D.,Flores,Kirkland & Ellis LLP,Target/Seller
004 - EQM Midstream Partners LP acquisition of equity interests of Eureka Midstr.docx,Ryan,J.,Maierson,Latham & Watkins LLP,Buyer
004 - EQM Midstream Partners LP acquisition of equity interests of Eureka Midstr.docx,Nick,S.,Dhesi,Latham & Watkins LLP,Buyer
004 - EQM Midstream Partners LP acquisition of equity interests of Eureka Midstr.docx,Peter,C.,Marshall,Vinson & Elkins LLP,Target/Seller
004 - Genesco Inc acquisition of assets of Togast LLC Togast Direct LLC TGB Desi.docx,Jennifer,NA,Noonan,"Bass, Berry & Sims PLC",Buyer
004 - Genesco Inc acquisition of assets of Togast LLC Togast Direct LLC TGB Desi.docx,James,T.,Kim,Cole Schotz P.C.,Target/Seller
004 - Glu Mobile Inc and Cie Games Inc merger.docx,David,A.,Bell,Fenwick & West LLP,Buyer
004 - Glu Mobile Inc and Cie Games Inc merger.docx,Mark,NA,Medearis,Cooley LLP,Target/Seller
004 - Glu Mobile Inc and Cie Games Inc merger.docx,Jamie,NA,Leigh,Cooley LLP,Target/Seller
004 - Glu Mobile Inc and Griptonite Inc merger.docx,David,A.,Bell,Fenwick & West LLP,Buyer
004 - Glu Mobile Inc and Griptonite Inc merger.docx,C.,Brophy,Christensen,O’Melveny & Myers LLP,Target/Seller
004 - Kimura Power LLC acquisition of certain assets of AES Ohio Generation LLC.docx,Ryan,S.,Holcomb,Bracewell LLP,Buyer
004 - Kimura Power LLC acquisition of certain assets of AES Ohio Generation LLC.docx,William,S.,Lamb,Baker Botts L.L.P.,Target/Seller
004 - KIT digital Inc acquisition of assets of Sezmi Corporation.docx,Rima,NA,Jameel,JB Legal Consulting,Buyer
004 - KIT digital Inc acquisition of assets of Sezmi Corporation.docx,John,T.,Sheridan,"Wilson Sonsini Goodrich & Rosati, P.C.",Target/Seller
004 - MGM Growth Properties LLC acquisition of equity interests of Northfield Pa.docx,NA,NA,NA,"Gibson, Dunn & Crutcher LLP",Buyer
004 - MGM Growth Properties LLC acquisition of equity interests of Northfield Pa.docx,Albert,NA,Adams,Baker & Hostetler LLP,Target/Seller
004 - NGK Spark Plug Co Ltd acquisition of equity interests of CAIRE Inc Chart B.docx,Kazuhiro,NA,Shimizu,Alston & Bird LLP,Buyer
004 - NGK Spark Plug Co Ltd acquisition of equity interests of CAIRE Inc Chart B.docx,Matt,NA,Stevens,Winston & Strawn LLP,Target/Seller
004 - Northern Oil and Gas Inc acquisition of certain assets of Pivotal Petroleu.docx,NA,NA,NA,Not disclosed at signing.,Buyer
004 - Northern Oil and Gas Inc acquisition of certain assets of Pivotal Petroleu.docx,Robert,NA,Dougherty,Thompson & Knight LLP,Target/Seller
004 - PDC Energy Inc acquisition of stock of Arris Petroleum Corporation.docx,Kristin,NA,Lentz,Davis Graham & Stubbs LLP,Buyer
004 - PDC Energy Inc acquisition of stock of Arris Petroleum Corporation.docx,Greg,NA,Danielson,Davis Graham & Stubbs LLP,Buyer
004 - PDC Energy Inc acquisition of stock of Arris Petroleum Corporation.docx,Sam,NA,Niebrugge,Davis Graham & Stubbs LLP,Buyer
004 - PDC Energy Inc acquisition of stock of Arris Petroleum Corporation.docx,Irving,NA,Rotter,Sidley Austin LLP,Target/Seller
004 - Pinehurst Petroleum LLC and Petroleum Marketers Incorporated merger.docx,NA,NA,NA,Bradley Arant Boult Cummings LLP,Buyer
004 - Pinehurst Petroleum LLC and Petroleum Marketers Incorporated merger.docx,Nicholas,C.,Conte,Woods Rogers PLC,Target/Seller
004 - Pinehurst Petroleum LLC and Petroleum Marketers Incorporated merger.docx,NA,NA,NA,Woods Rogers PLC,Target/Seller
004 - Pinehurst Petroleum LLC and Petroleum Marketers Incorporated merger.docx,NA,NA,NA,Krieg DeVault LLP,Target/Seller
004 - Prestige Brands Holdings Inc and CB Fleet TopCo LLC merger.docx,Michelle,L.,Moore,Reed Smith LLP,Buyer
004 - Prestige Brands Holdings Inc and CB Fleet TopCo LLC merger.docx,Noah,NA,Boyens,Kirkland & Ellis LLP,Target/Seller
004 - Quality Systems Inc and EagleDream Health Inc merger.docx,Garett,M.,Sleichter,"Rutan & Tucker, LLP",Buyer
004 - Quality Systems Inc and EagleDream Health Inc merger.docx,Thomas,R.,Anderson,Harter Secrest & Emery LLP,Target/Seller
004 - Simmons First National Corporation and The Landrum Company merger.docx,NA,NA,NA,Covington & Burling LLP,Buyer
004 - Simmons First National Corporation and The Landrum Company merger.docx,Michael,P.,Reed,Covington & Burling LLP,Buyer
004 - Simmons First National Corporation and The Landrum Company merger.docx,Kenneth,H.,Suelthaus,Polsinelli PC,Target/Seller
004 - Simmons First National Corporation and The Landrum Company merger.docx,Larry,K.,Harris,Polsinelli PC,Target/Seller
004 - SunCoke Energy Partners LP acquisition of equity interests of Raven Energy.docx,NA,NA,NA,Not disclosed at signing.,Buyer
004 - SunCoke Energy Partners LP acquisition of equity interests of Raven Energy.docx,Brian,A.,Glasser,Bailey & Glasser LLP,Target/Seller
004 - Vista Equity Partners acquisition of certain assets and subsidiary stock o.docx,Stuart,E.,Casillas,Kirkland & Ellis LLP,Buyer
004 - Vista Equity Partners acquisition of certain assets and subsidiary stock o.docx,Joshua,M.,Zachariah,Kirkland & Ellis LLP,Buyer
004 - Vista Equity Partners acquisition of certain assets and subsidiary stock o.docx,Daniel,E.,Wolf,Kirkland & Ellis LLP,Buyer
004 - Vista Equity Partners acquisition of certain assets and subsidiary stock o.docx,Jeremy,NA,London,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
004 - Vista Equity Partners acquisition of certain assets and subsidiary stock o.docx,Richard,NA,Grossman,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
004 - W R Grace And Co acquisition of certain assets and subsidiary equity inter.docx,Steven,NA,Epstein,"Fried, Frank, Harris, Shriver & Jacobson LLP",Buyer
004 - W R Grace And Co acquisition of certain assets and subsidiary equity inter.docx,John,Owen,Gwathmey,Troutman Sanders LLP,Target/Seller
005 - Atlantic Tele-Network Inc acquisition of subsidiary equity interests of Gr.docx,NA,NA,NA,Stoel Rives LLP,Buyer
005 - Atlantic Tele-Network Inc acquisition of subsidiary equity interests of Gr.docx,NA,NA,NA,McGuireWoods LLP,Buyer
005 - Atlantic Tele-Network Inc acquisition of subsidiary equity interests of Gr.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
005 - BAndG Foods Inc acquisition of certain assets of The J M Smucker Company.docx,Stephen,M.,Leitzell,Dechert LLP,Buyer
005 - BAndG Foods Inc acquisition of certain assets of The J M Smucker Company.docx,Michael,F.,Marhofer,"Benesch, Friedlander, Coplan & Aronoff LLP",Target/Seller
005 - Banpu Kalnin Ventures acquisition of certain assets of Devon Energy Corpor.docx,NA,NA,NA,Willkie Farr & Gallagher LLP,Buyer
005 - Banpu Kalnin Ventures acquisition of certain assets of Devon Energy Corpor.docx,NA,NA,NA,Vinson & Elkins LLP,Target/Seller
005 - Bedrock Production LLC acquisition of certain assets of Harvest Oil And Ga.docx,NA,NA,NA,Not disclosed at signing.,Buyer
005 - Bedrock Production LLC acquisition of certain assets of Harvest Oil And Ga.docx,Rahul,NA,Vashi,Kirkland & Ellis LLP,Target/Seller
005 - Cantel Medical Corp acquisition of assets of Byrne Medical Inc.docx,NA,NA,NA,Not disclosed at signing.,Buyer
005 - Cantel Medical Corp acquisition of assets of Byrne Medical Inc.docx,Jeffrey,R.,Harder,Winstead PC,Target/Seller
005 - Citizens And Northern Corporation and Monument Bancorp Inc merger.docx,Paul,G.,Mattaini,Barley Snyder LLP,Buyer
005 - Citizens And Northern Corporation and Monument Bancorp Inc merger.docx,Kimberly,J.,Decker,Barley Snyder LLP,Buyer
005 - Citizens And Northern Corporation and Monument Bancorp Inc merger.docx,Dean,H.,Dusinberre,"Stevens & Lee, P.C.",Target/Seller
005 - Concordia Pharmaceuticals Inc acquisition of certain assets of PBM Pharmac.docx,NA,NA,NA,Not disclosed at signing.,Buyer
005 - Concordia Pharmaceuticals Inc acquisition of certain assets of PBM Pharmac.docx,Steven,M.,Goldman,Kramer Levin Naftalis & Frankel LLP,Target/Seller
005 - Convergys Corporation and SGS Holdings Inc merger.docx,Mark,NA,Gordon,"Wachtell, Lipton, Rosen & Katz",Buyer
005 - Convergys Corporation and SGS Holdings Inc merger.docx,Michael,NA,Woronoff,Proskauer Rose LLP,Target/Seller
005 - CryoLife Inc and On-X Life Technologies Holdings Inc merger.docx,Paul,R.,Tobias,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
005 - CryoLife Inc and On-X Life Technologies Holdings Inc merger.docx,J.,Matthew,Lyons,Andrews Kurth LLP,Target/Seller
005 - DentaQuest LLC and DCP Holding Company merger.docx,John,B.,Watkins,DLA Piper LLP (US),Buyer
005 - DentaQuest LLC and DCP Holding Company merger.docx,William,N.,Kirkham,Frost Brown Todd LLC,Target/Seller
005 - Diplomat Pharmacy Inc and LDI Holding Company LLC merger.docx,Michael,D.,DuBay,Honigman Miller Schwartz and Cohn LLP,Buyer
005 - Diplomat Pharmacy Inc and LDI Holding Company LLC merger.docx,Philip,NA,Desai,Honigman Miller Schwartz and Cohn LLP,Buyer
005 - Diplomat Pharmacy Inc and LDI Holding Company LLC merger.docx,NA,NA,NA,"Quarles & Brady, LLP",Buyer
005 - Diplomat Pharmacy Inc and LDI Holding Company LLC merger.docx,John,R.,LeClaire,"Goodwin Procter, LLP",Target/Seller
005 - Diplomat Pharmacy Inc and LDI Holding Company LLC merger.docx,Adam,P.,Small,"Goodwin Procter, LLP",Target/Seller
005 - Home BancShares Inc and Broward Financial Holdings Inc merger.docx,NA,NA,NA,"Mitchell, Williams, Selig, Gates & Woodyard, P.L.L.C.",Buyer
005 - Home BancShares Inc and Broward Financial Holdings Inc merger.docx,John,P.,Greeley,"Smith MacKinnon, P.A.",Target/Seller
005 - Houghton Mifflin Harcourt Publishing Company acquisition of certain assets.docx,John,C.,Kennedy,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Buyer
005 - Houghton Mifflin Harcourt Publishing Company acquisition of certain assets.docx,Tarun,M.,Stewart,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Buyer
005 - Houghton Mifflin Harcourt Publishing Company acquisition of certain assets.docx,NA,NA,NA,"Milbank, Tweed, Hadley & McCloy",Buyer
005 - Houghton Mifflin Harcourt Publishing Company acquisition of certain assets.docx,Thomas,J.,Rice,Baker & McKenzie LLP,Target/Seller
005 - Houghton Mifflin Harcourt Publishing Company acquisition of certain assets.docx,Carol,NA,Stubblefield,Baker & McKenzie LLP,Target/Seller
005 - Investcorp acquisition of equity interests of POC USA LLC and POC Sweden A.docx,Bruno,NA,Gattai,"Studio Legale Gattai, Minoli, Agostinelli & Partners",Buyer
005 - Investcorp acquisition of equity interests of POC USA LLC and POC Sweden A.docx,Gerardo,NA,Gabrielli,"Studio Legale Gattai, Minoli, Agostinelli & Partners",Buyer
005 - Investcorp acquisition of equity interests of POC USA LLC and POC Sweden A.docx,Robert,L.,Lawrence,"Kane Kessler, P.C.",Target/Seller
005 - KLX Energy Services Holdings Inc acquisition of equity interests of Motley.docx,Valerie,Ford,Jacob,Freshfields Bruckhaus Deringer US LLP,Buyer
005 - KLX Energy Services Holdings Inc acquisition of equity interests of Motley.docx,Paul,NA,Humphreys,Freshfields Bruckhaus Deringer US LLP,Buyer
005 - KLX Energy Services Holdings Inc acquisition of equity interests of Motley.docx,NA,NA,NA,"Cotton, Bledsoe, Tighe & Dawson, P.C.",Target/Seller
005 - Laguna Development Corporation and Eagle Holdings LLLP acquisition of equi.docx,Robert,L.,Ruben,Duane Morris LLP,Buyer
005 - Laguna Development Corporation and Eagle Holdings LLLP acquisition of equi.docx,Christian,NA,Fabian,Mayer Brown LLP,Target/Seller
005 - LiveXLive Media Inc and Slacker Inc merger.docx,Allen,Z.,Sussman,Loeb & Loeb LLP,Buyer
005 - LiveXLive Media Inc and Slacker Inc merger.docx,Joon,S.,Hur,Loeb & Loeb LLP,Buyer
005 - LiveXLive Media Inc and Slacker Inc merger.docx,Katherine,H.,Ku,"Wilson Sonsini Goodrich & Rosati, P.C.",Target/Seller
005 - LiveXLive Media Inc and Slacker Inc merger.docx,Patrick,NA,Anding,"Wilson Sonsini Goodrich & Rosati, P.C.",Target/Seller
005 - LiveXLive Media Inc and Slacker Inc merger.docx,NA,NA,NA,"Choate, Hall & Stewart LLP",Target/Seller
005 - Lockheed Martin Corporation acquisition of stock of Sikorsky Aircraft Corp.docx,William,J.,Chudd,Davis Polk & Wardwell LLP,Buyer
005 - Lockheed Martin Corporation acquisition of stock of Sikorsky Aircraft Corp.docx,Alan,S.,Kaden,"Fried, Frank, Harris, Shriver & Jacobson LLP",Buyer
005 - Lockheed Martin Corporation acquisition of stock of Sikorsky Aircraft Corp.docx,Michael,J.,Alter,"Fried, Frank, Harris, Shriver & Jacobson LLP",Buyer
005 - Lockheed Martin Corporation acquisition of stock of Sikorsky Aircraft Corp.docx,Joshua,R.,Cammaker,"Wachtell, Lipton, Rosen & Katz",Target/Seller
005 - Lockheed Martin Corporation acquisition of stock of Sikorsky Aircraft Corp.docx,Edward,J.,Lee,"Wachtell, Lipton, Rosen & Katz",Target/Seller
005 - Mistras Group Inc acquisition of equity interests of West Penn Non-Destruc.docx,Sheldon,G.,Nussbaum,Norton Rose Fulbright US LLP,Buyer
005 - Mistras Group Inc acquisition of equity interests of West Penn Non-Destruc.docx,John,NA,Lewis,Metz Lewis Brodman Must O'Keefe LLC,Target/Seller
005 - PBF Logistics LP acquisition of equity interests of CPI Operations LLC.docx,NA,NA,NA,Not disclosed at signing.,Buyer
005 - PBF Logistics LP acquisition of equity interests of CPI Operations LLC.docx,Richard,NA,Hall,"Cravath, Swaine & Moore LLP",Target/Seller
005 - Seacoast Banking Corporation of Florida and First Bank of the Palm Beaches.docx,NA,NA,NA,Alston & Bird LLP,Buyer
005 - Seacoast Banking Corporation of Florida and First Bank of the Palm Beaches.docx,Michael,V.,Mitrione,"Gunster, Yoakley & Stewart, P.A.",Target/Seller
005 - Silicon Valley Technology Partners Inc acquisition of stock of Overland St.docx,NA,NA,NA,Cooley LLP,Buyer
005 - Silicon Valley Technology Partners Inc acquisition of stock of Overland St.docx,Warren,NA,Lazarow,O’Melveny & Myers LLP,Target/Seller
005 - Silicon Valley Technology Partners Inc acquisition of stock of Overland St.docx,Paul,L.,Sieben,O’Melveny & Myers LLP,Target/Seller
005 - The Active Network Inc and StarCite Inc merger.docx,NA,NA,NA,Not disclosed at signing.,Buyer
